Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: UK brand: Shreddies budget: 6200000,6200000.000005246,5297812.825332972,6299743.372242426,11597556.197575398,11624385.553860825,UK,Shreddies
region: UK brand: Shreddies budget: 6300000,6300000.000001149,5327406.6847654525,6338107.692268816,11665514.37703427,11686980.558127053,UK,Shreddies
region: UK brand: Shreddies budget: 6400000,6400000.0000001285,5356750.898655393,6375159.825170164,11731910.723825557,11747707.859415218,UK,Shreddies
region: UK brand: Shreddies budget: 6500000,6499999.999997063,5385679.569715545,6411009.733123801,11796689.302839346,11806623.186042072,UK,Shreddies
region: UK brand: Shreddies budget: 6600000,6600000.0,5414100.600140217,6445779.485127179,11859880.085267395,11863780.603516553,UK,Shreddies
region: UK brand: Shreddies budget: 6700000,6699999.999999999,5441902.628123705,6479324.4810798615,11921227.109203566,11919232.564137086,UK,Shreddies
region: UK brand: Shreddies budget: 6800000,6799999.999998693,5469179.538650749,6511578.39898946,11980757.937640209,11973029.955142139,UK,Shreddies
region: UK brand: Shreddies budget: 6900000,6900000.0,5495949.259052674,6542619.459757716,12038568.71881039,12025222.145403335,UK,Shreddies
region: UK brand: Shreddies budget: 700000,700000.0000090061,1075931.9635734449,1713329.639999378,2789261.603572823,2621924.928166858,UK,Shreddies
region: UK brand: Shreddies budget: 7000000,6999999.99999503,5522662.302107435,6571843.56645106,12094505.868558494,12075857.030722668,UK,Shreddies
region: UK brand: Shreddies budget: 7100000,7100000.000000001,5550922.419247995,6596730.045052863,12147652.464300858,12124981.077804916,UK,Shreddies
region: UK brand: Shreddies budget: 7200000,7199999.999999999,5576770.972739372,6621101.852292848,12197872.82503222,12172639.366871003,UK,Shreddies
region: UK brand: Shreddies budget: 7300000,7299999.999999999,5602304.491556465,6642931.724249087,12245236.215805553,12218875.633052792,UK,Shreddies
region: UK brand: Shreddies budget: 7400000,7400000.0,5622905.418641132,6667120.857140254,12290026.275781386,12263732.306515591,UK,Shreddies
region: UK brand: Shreddies budget: 7500000,7500000.0,5640915.786131552,6692515.915092151,12333431.701223703,12307250.55139802,UK,Shreddies
region: UK brand: Shreddies budget: 7600000,7600000.000000001,5658632.170349603,6716965.9267876055,12375598.097137209,12349470.30358757,UK,Shreddies
region: UK brand: Shreddies budget: 7700000,7700000.0,5676054.897318684,6740526.077056926,12416580.97437561,12390430.307369035,UK,Shreddies
region: UK brand: Shreddies budget: 7800000,7800000.0,5693185.217687468,6763247.166747521,12456432.384434989,12430168.150979426,UK,Shreddies
